respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.052977516,0.10397599
26708,0.43092506,0.624331053
26709,0.418867209,0.695281951
26710,0.232230471,0.386598777
26711,0.424710869,0.836144126
26712,0.252501078,0.199619554
26713,0.087598117,0.127811251
26714,0.027913231,0.079279047
26715,0.141314315,0.668602733
26716,0.014575483,0.180814194
26717,0.219122465,0.402723516
26718,0.057382081,0.690550826
26719,0.098335895,0.319582897
26720,0.478247847,0.635864016
26721,0.032871905,0.05971104
26722,0.494810017,0.518791514
26723,0.093065455,0.388043577
26724,0.089059366,0.144602681
26725,0.017373692,0.070348874
26726,0.2640302,0.639402299
26727,0.194774211,0.393767422
26728,0.082558535,0.343118556
26729,0.046182127,0.245791461
26730,0.013381493,0.132416475
26731,0.09436193,0.053463988
26732,0.853592765,0.843986637
26733,0.884349082,0.518263408
26734,0.132319787,0.377579649
26735,0.092132868,0.285645533
26736,0.064685767,0.076121206
26737,0.653808177,0.810109296
26738,0.093174001,0.16460246
26739,0.177144255,0.174409422
26740,0.149037423,0.83079323
26741,0.11794184,0.294119362
26742,0.029222107,0.237089525
26743,0.078200407,0.573201766
26744,0.105343136,0.896711416
26745,0.18818112,0.349067747
26746,0.081109012,0.228313796
26747,0.148526175,0.171721447
26748,0.070074698,0.629669582
26749,0.553173329,0.724014597
26750,0.355091278,0.585417751
26751,0.0212774,0.013576514
26752,0.167949489,0.384677934
26753,0.104184609,0.589054449
26754,0.055851739,0.113628064
26755,0.017263758,0.042982111
26756,0.579524802,0.688476614
26757,0.472500383,0.689836782
26758,0.043597278,0.153999297
26759,0.012787869,0.03078235
26760,0.125080825,0.450508013
26761,0.110384378,0.530415641
26762,0.875807819,0.955057928
26763,0.899839333,0.904999752
26764,0.029576986,0.599592935
26765,0.17247472,0.217698518
26766,0.74888046,0.708065245
26767,0.01440297,0.391018121
26768,0.112846456,0.16459144
26769,0.116218817,0.62005941
26770,0.09851545,0.2137964
26771,0.096949183,0.385631382
26772,0.018469616,0.57329192
26773,0.021780724,0.359025838
26774,0.101959397,0.377472828
26775,0.582505995,0.642673426
26776,0.108364594,0.864845162
